QuestionID,カテゴリ番号,属性ペア,うわさの内容,interest_データ数,interest_平均値,interest_SD,AOI_データ数,AOI_平均値,AOI_SD,privacy_データ数,privacy_平均値,privacy_SD,polarity_データ数,polarity_平均値,polarity_SD
26.0,1,M3-F3,Aさんはテストを頑張った,12,4.083333333333333,1.2401124093721456,12,2.3333333333333335,0.7784989441615231,12,2.1666666666666665,0.9374368665610922,12,6.416666666666667,0.7929614610987591
26.0,1,M4-F4,Aさんはテストを頑張った,12,3.6666666666666665,1.6143297699232972,12,2.0833333333333335,0.90033663737852,12,3.0833333333333335,1.5642792899510294,12,6.5,0.5222329678670935
26.0,2,M1-F1,Aさんは「ギター演奏」に夢中になった,12,4.083333333333333,1.378954368902449,12,3.9166666666666665,1.2401124093721454,12,3.1666666666666665,1.80067327475704,12,5.666666666666667,0.4923659639173309
26.0,2,M2-F2,Aさんは「ギター演奏」に夢中になった,12,3.8333333333333335,1.4668044012461754,12,4.916666666666667,1.0836246694508318,12,3.25,1.5447859516333116,12,5.75,1.0552897060221726
26.0,2,M3-F3,Aさんは「ギター演奏」に夢中になった,12,4.833333333333333,1.5275252316519465,12,4.083333333333333,1.2401124093721454,12,3.4166666666666665,1.5642792899510294,12,5.916666666666667,0.6685579234215215
26.0,2,M4-F4,Aさんは「ギター演奏」に夢中になった,12,3.9166666666666665,1.7816403745544227,12,4.333333333333333,1.2309149097933274,12,2.75,1.6025547785276542,12,6.0,0.6030226891555273
26.0,3,M1-F1,Aさんは車をカスタマイズしている,12,4.0,1.651445647689541,12,3.6666666666666665,1.1547005383792517,12,3.5833333333333335,1.5642792899510296,12,4.833333333333333,0.7177405625652733
26.0,3,M2-F2,Aさんは車をカスタマイズしている,12,4.333333333333333,1.9227505550564008,12,4.5,1.243163121016122,12,3.9166666666666665,1.9286515936521478,12,5.083333333333333,0.996204919895622
26.0,3,M3-F3,Aさんは車をカスタマイズしている,12,4.5,1.8829377433825436,12,3.8333333333333335,1.1146408580454255,12,3.5,1.7837651700316894,12,5.333333333333333,0.8876253645985945
26.0,3,M4-F4,Aさんは車をカスタマイズしている,12,3.5833333333333335,1.5642792899510296,12,4.75,1.2880570286640687,12,3.0,1.348399724926484,12,5.083333333333333,0.7929614610987592
